MSFT_Date,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,AMZN_Date,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,META_Date,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,GOOG_Date,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Adj Close,GOOG_Volume,AAPL_Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume
1/24/22,292.200012,297.109985,276.049988,296.369995,294.446228,85731500,1/24/22,139,144.945007,135.352005,144.544006,144.544006,155624000,1/24/22,297.839996,309.529999,289.01001,308.709991,308.709991,38878100,1/24/22,126.027496,130.778503,124.641953,130.371994,130.371994,55148000,1/24/22,160.020004,162.300003,154.699997,161.619995,160.687408,162294600
1/25/22,291.519989,294.98999,285.170013,288.48999,286.61734,72848600,1/25/22,142.242493,143.600006,138.145004,139.985992,139.985992,90824000,1/25/22,299.950012,306.230011,297.579987,300.149994,300.149994,25108500,1/25/22,128.435501,129.338501,126.377998,126.735497,126.735497,36008000,1/25/22,158.979996,162.759995,157.020004,159.779999,158.858017,115798400
1/26/22,307.98999,308.5,293.029999,296.709991,294.783997,90428900,1/26/22,144.75,145.184998,137.318497,138.872498,138.872498,95602000,1/26/22,307.01001,307.51001,290.850006,294.630005,294.630005,28348800,1/26/22,130.592499,132.807495,127.153503,129.240005,129.240005,39630000,1/26/22,163.5,164.389999,157.820007,159.690002,158.768539,108275300
1/27/22,302.660004,307.299988,297.929993,299.839996,297.893677,53481300,1/27/22,140.800003,144.2435,139.350006,139.637497,139.637497,77516000,1/27/22,297.75,301.709991,294.26001,294.640015,294.640015,21629900,1/27/22,131.360992,132.609955,128.945007,129.121002,129.121002,30248000,1/27/22,162.449997,163.839996,158.279999,159.220001,158.301254,121954600
1/28/22,300.230011,308.480011,294.450012,308.26001,306.259033,49743700,1/28/22,140.860504,143.998001,137.929504,143.977997,143.977997,74392000,1/28/22,295.619995,301.899994,293.029999,301.709991,301.709991,21871600,1/28/22,130,133.370499,128.694504,133.289505,133.289505,30518000,1/28/22,165.710007,170.350006,162.800003,170.330002,169.347153,179935700
1/31/22,308.950012,312.380005,306.369995,310.980011,308.961395,46444500,1/31/22,144.75,150.360504,144.300507,149.573502,149.573502,78308000,1/31/22,300.679993,313.790009,299.320007,313.26001,313.26001,21579500,1/31/22,134.197998,135.843506,132.274002,135.698502,135.698502,34056000,1/31/22,170.160004,175,169.509995,174.779999,173.771454,115541600
2/1/22,310.410004,310.630005,305.130005,308.76001,306.755768,40950400,2/1/22,150,151.707993,147.627502,151.193497,151.193497,59220000,2/1/22,314.559998,319.660004,312.119995,319,319,18023800,2/1/22,137.835007,138.199997,134.568253,137.878494,137.878494,51204000,2/1/22,174.009995,174.839996,172.309998,174.610001,173.602448,86213900
2/2/22,309.630005,315.119995,308.880005,313.459991,311.425262,36636000,2/2/22,155.050507,155.074997,148.863495,150.612503,150.612503,87330000,2/2/22,327.820007,328,316.869995,323,323,58458300,2/2/22,151.863495,152.100006,145.557495,148.036499,148.036499,89750000,2/2/22,174.75,175.880005,173.330002,175.839996,174.825348,84914300
2/3/22,309.48999,311.230011,299.959991,301.25,299.294556,43730000,2/3/22,141.737503,144.247498,138.332993,138.845505,138.845505,225532000,2/3/22,244.649994,248,235.75,237.759995,237.759995,188119900,2/3/22,145.294998,149.117706,142.205002,142.650497,142.650497,56930000,2/3/22,174.479996,176.240005,172.119995,172.899994,171.902313,89418100
2/4/22,300.209991,308.799988,299.970001,305.940002,303.954102,35096500,2/4/22,155.606506,161.199997,150.608002,157.639496,157.639496,253456000,2/4/22,234.970001,242.610001,230.110001,237.089996,237.089996,89342200,2/4/22,143.016998,144.535248,139.817505,143.016006,143.016006,49224000,2/4/22,171.679993,174.100006,170.679993,172.389999,171.613632,82465400
2/7/22,306.170013,307.839996,299.899994,300.950012,298.99649,28533300,2/7/22,158.520004,162.690994,157.25,157.935501,157.935501,102624000,2/7/22,237.699997,238.300003,224.009995,224.910004,224.910004,88613800,2/7/22,143.709,143.846497,138.699005,138.938004,138.938004,44610000,2/7/22,172.860001,173.949997,170.949997,171.660004,170.886917,77251200
2/8/22,301.25,305.559998,299.950012,304.559998,302.583038,32421200,2/8/22,156.750504,161.792496,155.550507,161.413498,161.413498,76040000,2/8/22,220.850006,225.770004,216.149994,220.179993,220.179993,94729700,2/8/22,138.991257,139.837097,136.873001,139.212997,139.212997,34256000,2/8/22,171.729996,175.350006,171.429993,174.830002,174.042648,74829200
2/9/22,309.869995,311.929993,307.390015,311.209991,309.18988,31284700,2/9/22,162.873505,163.834503,160.25,161.189499,161.189499,68786000,2/9/22,224.199997,233.369995,222.210007,232,232,86563300,2/9/22,140.849747,142.175507,140.376999,141.453003,141.453003,28628000,2/9/22,176.050003,176.649994,174.899994,176.279999,175.486099,71285000
2/10/22,304.040009,309.119995,300.700012,302.380005,300.417206,45386200,2/10/22,158.350006,160.716507,157.75,159.003494,159.003494,68268000,2/10/22,228.270004,235,226.699997,228.070007,228.070007,49310400,2/10/22,139.5,141.431,138.050003,138.602493,138.602493,33018000,2/10/22,174.139999,175.479996,171.550003,172.119995,171.344833,90865900
2/11/22,303.190002,304.290009,294.220001,295.040009,293.124878,39175600,2/11/22,158.134506,159,152.733994,153.293503,153.293503,77100000,2/11/22,228.460007,230.419998,218.770004,219.550003,219.550003,46156900,2/11/22,138.75,139.283249,133.288498,134.130005,134.130005,38808000,2/11/22,172.330002,173.080002,168.039993,168.639999,167.880524,98670700
2/14/22,293.769989,296.76001,291.350006,295,293.085114,36359500,2/14/22,151.751007,158.448502,151.649994,155.167007,155.167007,83230000,2/14/22,219.309998,221,214.779999,217.699997,217.699997,38184000,2/14/22,133.365494,136.166504,133.302002,135.300003,135.300003,26792000,2/14/22,167.369995,169.580002,166.559998,168.880005,168.119446,86185500
2/15/22,300.01001,300.799988,297.019989,300.470001,298.519623,27058300,2/15/22,157.605499,158.007004,154.637497,156.510498,156.510498,56440000,2/15/22,220.470001,221.149994,215.059998,221,221,42685500,2/15/22,137.471497,137.899994,135.539505,136.425507,136.425507,26578000,2/15/22,170.970001,172.949997,170.25,172.789993,172.011826,62527400
2/16/22,298.369995,300.869995,293.679993,299.5,298.171173,29982100,2/16/22,155.790497,158.834,154.734497,158.100494,158.100494,52704000,2/16/22,212.410004,217.460007,212.360001,216.539993,216.539993,45817500,2/16/22,136.430496,137.945999,134.823654,137.487503,137.487503,25610000,2/16/22,171.850006,173.339996,170.050003,172.550003,171.772919,61177400
2/17/22,296.359985,296.799988,290,290.730011,289.440094,32461600,2/17/22,158.145996,160.348999,154.5,154.652496,154.652496,64032000,2/17/22,214.020004,217.5,207.160004,207.710007,207.710007,38747500,2/17/22,136.149994,136.839493,132.201996,132.308502,132.308502,30968000,2/17/22,171.029999,171.910004,168.470001,168.880005,168.119446,69589300
2/18/22,293.049988,293.859985,286.309998,287.929993,286.652496,34264000,2/18/22,155.499496,155.499496,150.893005,152.601501,152.601501,63604000,2/18/22,209.389999,210.75,205.179993,206.160004,206.160004,37128400,2/18/22,133.037506,133.824005,130.307053,130.467499,130.467499,31858000,2/18/22,169.820007,170.539993,166.190002,167.300003,166.546555,82772700
2/22/22,285,291.540009,284.5,287.720001,286.44342,41736100,2/22/22,150.4785,152.982498,148.485504,150.197495,150.197495,66128000,2/22/22,202.339996,207.479996,200.059998,202.080002,202.080002,39852400,2/22/22,129.985001,131.900757,127.740997,129.402496,129.402496,38906000,2/22/22,164.979996,166.690002,162.149994,164.320007,163.579971,91162800
2/23/22,290.179993,291.700012,280.100006,280.269989,279.026489,37811200,2/23/22,151.650497,151.763,144.651001,144.826996,144.826996,64244000,2/23/22,204.160004,206.940002,198.050003,198.449997,198.449997,44481400,2/23/22,131.078506,131.748993,127.503502,127.584999,127.584999,26432000,2/23/22,165.539993,166.149994,159.75,160.070007,159.349121,90009200
2/24/22,272.51001,295.160004,271.519989,294.589996,293.282959,56989700,2/24/22,139.837494,151.748993,139.5,151.358002,151.358002,100786000,2/24/22,191.059998,208.350006,190.220001,207.600006,207.600006,49957200,2/24/22,125,133.037003,124.764503,132.673492,132.673492,43166000,2/24/22,152.580002,162.850006,152,162.740005,162.007095,141147500
2/25/22,295.140015,297.630005,291.649994,297.309998,295.990875,32546700,2/25/22,150.550003,153.990005,149.213501,153.788498,153.788498,62396000,2/25/22,204.940002,211.320007,203.179993,210.479996,210.479996,37627600,2/25/22,133.525497,135.389008,131.764999,134.519501,134.519501,26236000,2/25/22,163.839996,165.119995,160.869995,164.850006,164.10759,91974200
